"SHORT_CODE","START_DATE","EVENT_TYPE","CALL_TYPE","SUBSCRIBER_TYPE","KEYWORD","NB_TAXATION","AMOUNT"
"2168000",16/05/2026,"74","VAS","PREPAID","too1",698,349
"21685988",16/05/2026,"74","VAS","PREPAID","_N",108,162
"2168000",16/05/2026,"74","VAS","HYB","kow3",507,3042
"2168000",16/05/2026,"74","VAS","HYB","nj1",63,126
"2168000",16/05/2026,"74","VAS","HYB","qe1",8,56
"21685008",16/05/2026,"75","VAS","PREPAID","_N",530,1325
"2168000",16/05/2026,"74","VAS","HYB","ra1",259,1295
"21685001",16/05/2026,"75","VAS","PREPAID","_N",931,23275
"21685353",16/05/2026,"74","VAS","PREPAID","_N",16,24
"2168000",16/05/2026,"74","VAS","HYB","sw2",7,42
"2168000",16/05/2026,"74","VAS","PREPAID","se2",9,63
"2168000",16/05/2026,"74","VAS","PREPAID","dsa",1,45
"2168000",17/05/2026,"74","VAS","HYB","bus1",1354,8124
"2168590604",17/05/2026,"75","VAS","PREPAID","_N",2604,161448
"2168000",17/05/2026,"74","VAS","PREPAID","ab1",4619,23095
"2168000",17/05/2026,"74","VAS","PREPAID","esl1",2787,13935
"2168000",17/05/2026,"74","VAS","PREPAID","mo1",1017,6102
"21685085",17/05/2026,"74","VAS","PREPAID","_N",300,432
"2168000",17/05/2026,"74","VAS","HYB","smt1",560,196
"2168000",17/05/2026,"74","VAS","PREPAID","mel1",1131,50895
"2168000",17/05/2026,"74","VAS","PREPAID","cf",2268,1134
"2168000",17/05/2026,"74","VAS","HYB","kow",816,4896
"2168000",17/05/2026,"74","VAS","PREPAID","tj",2575,115875
"2168000",17/05/2026,"74","VAS","HYB","dse",25,625
"2168000",17/05/2026,"74","VAS","PREPAID","foo1",143,6435
