"SHORT_CODE","START_DATE","EVENT_TYPE","CALL_TYPE","EVENT_STATUS","SUBSCRIBER_TYPE","KEYWORD","NB_TAXATION"
"2168000",08/05/2026,"74","VAS","Success","HYB","se1",928
"21685115",08/05/2026,"74","VAS","Success","PREPAID","_N",3
"21685856",08/05/2026,"75","VAS","Success","HYB","_N",206
"2168000",08/05/2026,"74","VAS","Success","POSTPAID","se1",3
"2168560602",08/05/2026,"75","VAS","Success","HYB","_N",356
"21685988",08/05/2026,"74","VAS","Success","HYB","_N",21
"21685000",08/05/2026,"74","VAS","Success","PREPAID","_N",3
"21685230",08/05/2026,"74","VAS","Success","HYB","_N",13
"21685500",08/05/2026,"74","VAS","Success","PREPAID","_N",1
"2168000",08/05/2026,"74","VAS","Success","HYB","mo2",1
"2168000",08/05/2026,"74","VAS","Success","HYB","dsc",1
"2168000",08/05/2026,"74","VAS","Success","HYB","dst",2
"21685205",08/05/2026,"74","VAS","Success","PREPAID","_N",1
"2168000",09/05/2026,"74","VAS","Success","PREPAID","9is",7006
"2168000",09/05/2026,"74","VAS","Success","PREPAID","tts",3378
"2168000",09/05/2026,"74","VAS","Success","PREPAID","ww",12441
"2168000",09/05/2026,"74","VAS","Success","PREPAID","sw1",7136
"2168000",09/05/2026,"74","VAS","Success","PREPAID","cpt",415
"2168000",09/05/2026,"74","VAS","Success","HYB","qe3",98
"2168000",09/05/2026,"74","VAS","Success","HYB","tts",157
"2168000",09/05/2026,"74","VAS","Success","POSTPAID","elj1",1
"2168000",09/05/2026,"74","VAS","Success","HYB","raf",602
"21685085",09/05/2026,"74","VAS","Success","PREPAID","_N",336
"2168000",09/05/2026,"74","VAS","Success","HYB","cpt",26
"2168000",09/05/2026,"74","VAS","Success","PREPAID","vib1",3
"2168000",09/05/2026,"74","VAS","Success","POSTPAID","esl1",2
"2168000",09/05/2026,"74","VAS","Success","POSTPAID","kid2",1
"2168000",09/05/2026,"74","VAS","Success","HYB","esp",159
"2168000",09/05/2026,"74","VAS","Success","PREPAID","dse",236
"2168000",09/05/2026,"74","VAS","Success","HYB","mo1",61
"2168000",09/05/2026,"74","VAS","Success","PREPAID","dst",71
"21685008",09/05/2026,"75","VAS","Success","HYB","_N",51
"2168000",09/05/2026,"74","VAS","Success","PREPAID","nj2",53
"2168000",09/05/2026,"74","VAS","Success","HYB","est1",24
"21685856",09/05/2026,"75","VAS","Success","HYB","_N",229
"2168000",09/05/2026,"74","VAS","Success","HYB","taw2",1
"2168590604",09/05/2026,"75","VAS","Success","PREPAID","_N",2777
"21685515",09/05/2026,"75","VAS","Success","PREPAID","_N",3774
"2168590604",09/05/2026,"75","VAS","Success","HYB","_N",82
"21685515",09/05/2026,"75","VAS","Success","HYB","_N",434
"2168000",09/05/2026,"74","VAS","Success","PREPAID","sh2",14
"216855193",09/05/2026,"75","VAS","Success","HYB","_N",59
"2168000",09/05/2026,"74","VAS","Success","POSTPAID","lig1",4
"21685940",09/05/2026,"74","VAS","Success","PREPAID","_N",2
"21685822",09/05/2026,"74","VAS","Success","PREPAID","_N",1
"2168000",09/05/2026,"74","VAS","Success","HYB","nj3",1
"21685585",09/05/2026,"74","VAS","Success","PREPAID","_N",1
"2168000",09/05/2026,"74","VAS","Success","PREPAID","kid2",1
"2168728354636",09/05/2026,"74","VAS","Success","POSTPAID","_N",1
"21685777",09/05/2026,"74","VAS","Success","HYB","_N",1
"2168000",10/05/2026,"74","VAS","Success","PREPAID","fig",7293
"2168000",10/05/2026,"74","VAS","Success","PREPAID","raf",11748
"2168000",10/05/2026,"74","VAS","Success","HYB","ab1",140
"2168000",10/05/2026,"74","VAS","Success","HYB","fig2",166
"2168000",10/05/2026,"74","VAS","Success","HYB","gm",161
"2168590601",10/05/2026,"75","VAS","Success","PREPAID","_N",8821
"2168000",10/05/2026,"74","VAS","Success","PREPAID","kow3",8787
"2168000",10/05/2026,"74","VAS","Success","PREPAID","tj",3522
"2168000",10/05/2026,"74","VAS","Success","HYB","kow3",432
"2168000",10/05/2026,"74","VAS","Success","POSTPAID","tj",1
"2168000",10/05/2026,"74","VAS","Success","POSTPAID","fig",3
"2168000",10/05/2026,"74","VAS","Success","PREPAID","cpt",381
